category,brand,model,price,image_url,image_file,source_name,source_url,detail_url,ram,storage,processor,display,gpu,battery,camera,os,id,usage,price_text
Laptop,ASUS,"Asus X515EP-BQ301TS | 15.6"" FHD | i7-1165G7 | GeForce MX330 | 8GB RAM | 1TB SSD | WIN 10 / WIN 11",7000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-08_LAP-ASUSX515EP-BQ301TSI7-1165G7MX3302GB1TB_256GBSSD8GBWIN10GREY.jpg?v=1776230072&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_X515EP-BQ301TS_15_6_FHD_i7-1165G7_GeForce_MX330_8GB_RAM_1TB_SSD_WIN_10_WIN__924443009a.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/products/asus-x515ep-bq301ts,8GB RAM,1TB SSD,,00 In | FHD,,,,WIN 11,21,,
Laptop,ASUS,"Asus X415EP-EB213T | 14"" FHD | i5-1135G7 | NVIDIA GeForce MX330 | 8GB RAM | 1TB HDD + 256GB SSD | WIN 10",7000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-30_AsusX415EP-EB213T.jpg?v=1777962220&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_X415EP-EB213T_14_FHD_i5-1135G7_NVIDIA_GeForce_MX330_8GB_RAM_1TB_HDD_256GB_S_4c43f2652f.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/products/asus-x415ep-eb213t-laptop,8GB RAM,1TB HDD,,00 In | FHD,,,,WIN 10,22,,
Laptop,ASUS,"Asus Zenbook 14 OLED UM3402YA-KN104WS | 14"" OLED | Ryzen 5 5625U | Radeon Graphics | 8GB RAM | 512GB SSD | WIN 11",7000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/collections/all-laptops?page=2,8GB RAM,512GB SSD,Ryzen 5 5625U,OLED,Radeon Graphics,,,WIN 11,23,,
Laptop,ASUS,"ASUS Gaming V16 V3607VM‑RP524W | 16"" WUXGA | Intel Core 5 | NVIDIA GeForce RTX 5060 | 16GB RAM | 512GB SSD | WIN 11",7000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/collections/all-laptops?page=3,16GB RAM,512GB SSD,Intel Core 5,WUXGA,NVIDIA GeForce RTX 5060,,,WIN 11,24,,
Laptop,ASUS,"Asus TUF Gaming F16 FX608JM-RV038WSM | 16"" WUXGA | Intel Core 5 | GeForce RTX 5060 | 16GB RAM | 512GB SSD | WIN 11",7000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_AsusTUFGamingF16FX608JM-RV038WSM.jpg?v=1777952895&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_TUF_Gaming_F16_FX608JM-RV038WSM_16_WUXGA_Intel_Core_5_GeForce_RTX_5060_16GB_b8f892662b.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=5,https://www.gigahertz.com.ph/products/asus-tuf-gaming-f16-fx608jm-rv038wsm-16-wuxga-intel-core-5-geforce-rtx-5060-16gb-ram-512gb-ssd-win-11,16GB RAM,512GB SSD,Intel Core 5,00 In | WUXGA,GeForce RTX 5060,,,WIN 11,25,,
Laptop,ASUS,"Asus ROG Zephyrus G14 (2023) GA402NU-N2035W | 14"" WQXGA | Ryzen 7 7735HS | GeForce RTX 4050 | 16GB RAM | 512GB SSD | WIN 11",7000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=7,https://www.gigahertz.com.ph/collections/all-laptops?page=7,16GB RAM,512GB SSD,Ryzen 7 7735HS,WQXGA,GeForce RTX 4050,,,WIN 11,26,,
Laptop,ASUS,ASUS B650M-AYW WIFI Micro-ATX Motherboard,7350.0,,,PC Express All Laptop Tagged,https://pcx.com.ph/collections/all-products/laptop,https://pcx.com.ph/collections/all-products/laptop,,,,,,,,,27,,
Laptop,ASUS,"Asus Zenbook 14 UX3402ZA-KM136WS | 14"" OLED | i5-1240P | Iris Xe Graphics | 16 GB RAM | 512 GB SSD | WIN11",7500.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops,https://www.gigahertz.com.ph/collections/all-laptops,16 GB RAM,512 GB SSD,,OLED,,,,WIN11,28,,
Laptop,ASUS,"Asus ROG Strix G18 G814JIR-N6083WSM | 18"" WQXGA | i9-14900HX | GeForce RTX 4070 | 16GB RAM | 1TB SSD | WIN 11 | WITH MICROSOFT 365",7500.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops,https://www.gigahertz.com.ph/collections/all-laptops,16GB RAM,1TB SSD,,WQXGA,GeForce RTX 4070,,,WIN 11,29,,
Laptop,ASUS,"Asus ROG Strix G16 G614JV-N4369W | 16"" WQXGA | i7-13650HX | GeForce RTX 4060 | 16GB RAM | 1TB SSD | WIN 11",8000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops,https://www.gigahertz.com.ph/collections/all-laptops,16GB RAM,1TB SSD,,WQXGA,GeForce RTX 4060,,,WIN 11,30,,
